x
1	X2315554_TTLL10
2	X2315633_B3GALT6
3	X2315674_SCNN1D
4	X2315739_PUSL1
5	X2315894_VWA1
6	X2315918_ATAD3C
7	X2315951_ATAD3A
8	X2316218_CALML6
9	X2316245_PRKCZ
10	X2316379_SKI
11	X2316558_RER1
12	X2316605_PLCH2
13	X2316746_C1orf93
14	X2316905_ACTRT2
15	X2316953_PRDM16
16	X2317246_ARHGEF16
17	X2317317_TP73
18	X2317434_TPRG1L
19	X2317472_CCDC27
20	X2317512_DFFB
21	X2317686_AJAP1
22	X2318086_KCNAB2
23	X2318157_RNF207
24	X2318170_RNF207
25	X2318212_C1orf211
26	X2318242_LOC100130071
27	X2318257_ESPN
28	X2318338_TAS1R1
29	X2318364_ZBTB48
30	X2318398_PHF13
31	X2318416_THAP3
32	X2318455_CAMTA1
33	X2318637_VAMP3
34	X2318656_PER3
35	X2318736_PARK7
36	X2319135_CA6
37	X2319225_H6PD
38	X2319252_SPSB1
39	X2319340_SLC25A33
40	X2319423_PIK3CD
41	X2319518_NMNAT1
42	X2319550_RBP7
43	X2319560_UBE4B
44	X2319661_KIF1B
45	X2319802_PGD
46	X2319832_APITD1
47	X2319881_PEX14
48	X2320048_TARDBP
49	X2320188_ANGPTL7
50	X2320210_UBIAD1
51	X2320347_FBXO44
52	X2320374_FBXO6
53	X2320392_C1orf187
54	X2320411_AGTRAP
55	X2320472_CLCN6
56	X2320581_PLOD1
57	X2320619_MFN2
58	X2320657_MIIP
59	X2320683_TNFRSF8
60	X2320727_TNFRSF1B
61	X2320762_VPS13D
62	X2321011_C1orf158
63	X2321040_PRAMEF1
64	X2321058_PRAMEF2
65	X2321182_PDPN
66	X2321238_PRDM2
67	X2321466_KAZ
68	X2321607_KAZ
69	X2321645_TMEM51
70	X2321779_EFHD2
71	X2321797_CTRC
72	X2321813_CELA2A
73	X2321828_CELA2B
74	X2321849_DNAJC16
75	X2321911_DDI2
76	X2321942_RSC1A1
77	X2321960_PLEKHM2
78	X2322004_SLC25A34
79	X2322036_FBLIM1
80	X2322103_SPEN
81	X2322211_C1orf64
82	X2322226_CLCNKA
83	X2322264_CLCNKB
84	X2322362_C1orf144
85	X2322389_NECAP2
86	X2322598_CROCC
87	X2322786_PADI1
88	X2322818_PADI3
89	X2322848_PADI4
90	X2322894_PADI6
91	X2322957_ARHGEF10L
92	X2323087_ACTL8
